RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
30-06-2024,KC2ADF1484,0.35 X 1220 X RAL 7015,4035,REGULAR,REGULAR,17
30-06-2024,C0224F1143,0.3 X 1060 X RAL 9002,2035,REGULAR,REGULAR,17
01-Jul,C0224F1144,0.3 X 1060 X RAL 9002,3670,REGULAR,REGULAR,16
01-Jul,C0224F1142,0.3 X 1060 X RAL 9002,3660,REGULAR,REGULAR,16
01-Jul,C0224F1161,0.3 X 1060 X RAL 9002,5000,REGULAR,REGULAR,16
01-Jul,C0224F1153,0.3 X 1060 X RAL 9002,4960,REGULAR,REGULAR,16
01-Jul,C0224F1162,0.3 X 1060 X RAL 9002,4840,REGULAR,REGULAR,16
01-Jul,C0224F1160,0.3 X 1060 X RAL 9002,3700,REGULAR,REGULAR,16
01-Jul,C0224F1168,0.3 X 1060 X RAL 9002,3670,REGULAR,REGULAR,16
02-Jul,AC1ADF0699,0.35 X 1220 X RAL 9002,2090,REGULAR,REGULAR,15
03-Jul,TC1ADE1882,0.5 X 1150 X RAL 9002,4165,DTA,Senthil,14
03-Jul,TC1ADE1878,0.5 X 1150 X RAL 9002,4230,DTA,Senthil,14
03-Jul,TC1ADE1879,0.5 X 1150 X RAL 9002,4200,DTA,Senthil,14
03-Jul,TC1ADE1880,0.5 X 1150 X RAL 9002,4215,DTA,Senthil,14
03-Jul,TC1ADE1881,0.5 X 1150 X RAL 9002,4370,DTA,Senthil,14
03-Jul,TC1ADE1883,0.5 X 1150 X RAL 9002,3700,DTA,Senthil,14
03-Jul,TC1ADE1884,0.5 X 1150 X RAL 9002,4920,DTA,Senthil,14
04-Jul,PZ2C6M1425,0.3 X 1070 X RAL 9002,3270,REGULAR,REGULAR,13
04-Jul,PZ2C6M1422,0.3 X 1070 X RAL 9002,2178,REGULAR,REGULAR,13
04-Jul,PZ2C6M1424,0.3 X 1070 X RAL 9002,3462,REGULAR,REGULAR,13
04-Jul,PZ2C6M1426,0.3 X 1070 X RAL 9002,3818,REGULAR,REGULAR,13
04-Jul,PZ2C6M1417,0.3 X 1070 X RAL 9002,4118,REGULAR,REGULAR,13
04-Jul,PZ2C6M1419,0.3 X 1070 X RAL 9002,4390,REGULAR,REGULAR,13
04-Jul,PZ2C6M1418,0.3 X 1070 X RAL 9002,3984,REGULAR,REGULAR,13
04-Jul,KC3ADD2732,0.35 X 1220 X MIST GREEN,3450,REGULAR,REGULAR,13
04-Jul,KC3ADD2726,0.35 X 1220 X MIST GREEN,4155,REGULAR,REGULAR,13
05-Jul,2443FV3000,0.4 X 1220 X RAL 7015,785,REGULAR,REGULAR,12
05-Jul,KG4ADE1640,0.47 X 1220 X BGL,4315,REGULAR,REGULAR,12
05-Jul,KG4ADE1642,0.47 X 1220 X BGL,2015,REGULAR,REGULAR,12
09-Jul,W4DPP09296A,0.5 X 1070 X RAL 9002,4845,SUNANDA,Vivek,8
09-Jul,W4DPP09296B,0.5 X 1070 X RAL 9002,4770,SUNANDA,Vivek,8
09-Jul,KC2ACL3142,0.4 X 1070 X RAL 9002,3245,REGULAR,REGULAR,8
09-Jul,KC2ACL3141,0.4 X 1070 X RAL 9002,3845,REGULAR,REGULAR,8
11-Jul,2461MH5000,0.4 X 1070 X RAL 9002,1260,AZ STEEL,Others,6
11-Jul,2461MH3000,0.4 X 1070 X RAL 9002,2270,AZ STEEL,Others,6
15-07-2024,TC2ADE6981,0.5 X 1080 X RAL 9002,4420,DTA,Senthil,2
15-07-2024,TC1ADE1121,0.5 X 1080 X RAL 9002,4460,DTA,Senthil,2
15-07-2024,TC2ADE6983,0.5 X 1080 X RAL 9002,4400,DTA,Senthil,2
